X02.SMARTindex	X03.SMARTindex	X04.SMARTindex	X05.SMARTindex	X06.SMARTindex	X07.SMARTindex	X08.SMARTindex	X09.SMARTindex	X10.SMARTindex	X11.SMARTindex	X12.SMARTindex	X13.SMARTindex	X14.SMARTindex	X15.SMARTindex	X16.SMARTindex	X17.SMARTindex	X18.SMARTindex	X19.SMARTindex	X20.SMARTindex	X21.SMARTindex	X22.SMARTindex	X23.SMARTindex	X24.SMARTindex	X25.SMARTindex	X26.SMARTindex	X27.SMARTindex	X28.SMARTindex	X29.SMARTindex	X30.SMARTindex	X31.SMARTindex	X32.SMARTindex	X33.SMARTindex	X34.SMARTindex	X35.SMARTindex	X36.SMARTindex	X37.SMARTindex	X38.SMARTindex	X39.SMARTindex	X40.SMARTindex	X41.SMARTindex	X42.SMARTindex	X43.SMARTindex	X44.SMARTindex	X45.SMARTindex	X46.SMARTindex	X47.SMARTindex	X48.SMARTindex	X49.SMARTindex	X50.SMARTindex	X51.SMARTindex	X52.SMARTindex	X53.SMARTindex	X54.SMARTindex	X55.SMARTindex	X56.SMARTindex	X57.SMARTindex	X58.SMARTindex	X59.SMARTindex	X60.SMARTindex	X61.SMARTindex	X62.SMARTindex	X63.SMARTindex	X64.SMARTindex	X65.SMARTindex	X66.SMARTindex	X67.SMARTindex	X68.SMARTindex	X69.SMARTindex	X70.SMARTindex	X71.SMARTindex	X72.SMARTindex	X73.SMARTindex	X74.SMARTindex	X75.SMARTindex	X76.SMARTindex	X77.SMARTindex	X78.SMARTindex	X79.SMARTindex	X80.SMARTindex	X81.SMARTindex	X82.SMARTindex	X83.SMARTindex	X84.SMARTindex	X85.SMARTindex	X86.SMARTindex	X87.SMARTindex	X89.SMARTindex	X90.SMARTindex	X91.SMARTindex	X92.SMARTindex	X93.SMARTindex	X94.SMARTindex	X95.SMARTindex
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
